tag_id,nome,hora_entrada,hora_saida,tempo_cocho,peso_animal,peso_racao,%,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:54:46,2025-10-06 17:54:46,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:54:52,2025-10-06 17:54:52,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:54:52,2025-10-06 17:54:52,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:54:54,2025-10-06 17:54:54,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:54:57,2025-10-06 17:54:57,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:54:57,2025-10-06 17:54:57,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:54:59,2025-10-06 17:54:59,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:55:08,2025-10-06 17:55:08,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:55:08,2025-10-06 17:55:08,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:55:10,2025-10-06 17:55:10,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:55:14,2025-10-06 17:55:14,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:55:20,2025-10-06 17:55:20,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:55:20,2025-10-06 17:55:20,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:55:25,2025-10-06 17:55:25,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:55:25,2025-10-06 17:55:25,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:55:22,2025-10-06 17:55:22,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:55:27,2025-10-06 17:55:27,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:55:30,2025-10-06 17:55:30,0m 0s,77.102,-2,,
